ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-13T23:02:51Z,76,76,30,5237,99,1384,1400,0.39
2026-09-13T23:02:53Z,75,76,30,5281,99,1397,1702,0.39
2026-09-13T23:02:56Z,76,76,30,5281,100,1366,1702,0.39
2026-09-13T23:02:58Z,76,76,30,5281,100,1370,1702,0.36
2026-09-13T23:03:00Z,75,76,30,5281,99,1350,1702,0.36
2026-09-13T23:03:02Z,76,76,30,5281,100,1366,2424,0.41
2026-09-13T23:03:04Z,76,76,30,5281,100,1371,1702,0.41
2026-09-13T23:03:06Z,77,76,30,5252,99,1382,1702,0.41
2026-09-13T23:03:08Z,77,76,30,5281,99,1342,2323,0.37
2026-09-13T23:03:10Z,76,76,30,5281,99,1566,1399,0.37
2026-09-13T23:03:12Z,76,76,30,5281,99,1600,1702,0.34
2026-09-13T23:03:14Z,76,76,30,5281,100,1378,1702,0.34
2026-09-13T23:03:16Z,75,76,30,5281,99,1351,2424,0.40
2026-09-13T23:03:18Z,76,76,30,5281,99,1367,2424,0.40
2026-09-13T23:03:20Z,76,76,30,5281,100,1381,1400,0.40
2026-09-13T23:03:22Z,76,76,30,5281,100,1374,1702,0.37
2026-09-13T23:03:24Z,77,76,30,5281,99,1377,1399,0.37
2026-09-13T23:03:27Z,76,76,30,5281,99,1600,1702,0.34
2026-09-13T23:03:29Z,76,76,30,5281,100,1370,1702,0.34
2026-09-13T23:03:31Z,76,76,30,5281,99,1338,2349,0.34
2026-09-13T23:03:33Z,75,76,30,5281,100,1378,1702,0.39
2026-09-13T23:03:35Z,72,76,30,5281,99,1600,1702,0.39
2026-09-13T23:03:37Z,75,76,30,5281,100,1365,1702,0.36
2026-09-13T23:03:39Z,77,76,30,5281,100,1323,2424,0.36
2026-09-13T23:03:41Z,71,76,30,5281,99,1600,2424,0.33
2026-09-13T23:03:43Z,75,76,30,5281,100,1375,1702,0.33
2026-09-13T23:03:45Z,75,76,30,5281,100,1600,1702,0.33
2026-09-13T23:03:47Z,76,76,30,5281,99,1367,1702,0.30
2026-09-13T23:03:49Z,71,76,30,5281,99,1398,1702,0.30
2026-09-13T23:03:51Z,69,75,30,5281,100,1040,2424,0.36
2026-09-13T23:03:53Z,73,75,30,5281,99,1349,1702,0.36
2026-09-13T23:03:55Z,76,76,30,5281,99,1344,1702,0.36
2026-09-13T23:03:58Z,76,76,30,5281,99,1378,1702,0.33
2026-09-13T23:04:00Z,71,76,30,5281,100,1600,1702,0.33
2026-09-13T23:04:02Z,72,76,30,5326,99,1456,1702,0.30
2026-09-13T23:04:04Z,71,76,30,5281,100,1389,1702,0.30
2026-09-13T23:04:06Z,75,76,30,5281,99,1340,2426,0.30
2026-09-13T23:04:08Z,75,76,30,5281,99,1383,1399,0.36
2026-09-13T23:04:10Z,76,76,30,5281,100,1400,1400,0.36
2026-09-13T23:04:12Z,75,76,30,5281,99,1361,1702,0.33
2026-09-13T23:04:14Z,75,76,30,5281,99,1359,1702,0.33
2026-09-13T23:04:16Z,76,76,30,5281,99,1374,1702,0.30
2026-09-13T23:04:18Z,77,76,30,5281,100,1381,1702,0.30
2026-09-13T23:04:20Z,74,76,30,5281,99,1600,2424,0.30
2026-09-13T23:04:22Z,76,76,30,5281,99,1367,1702,0.28
2026-09-13T23:04:24Z,76,76,30,5281,100,1376,1702,0.28
2026-09-13T23:04:27Z,76,76,30,5281,99,1380,1702,0.26
2026-09-13T23:04:29Z,75,76,30,5281,100,1600,1702,0.26
2026-09-13T23:04:31Z,76,76,30,5281,99,1369,1702,0.26
2026-09-13T23:04:33Z,78,76,30,5281,99,1385,1702,0.24
2026-09-13T23:04:35Z,76,76,30,5281,99,1600,2424,0.24
2026-09-13T23:04:37Z,75,76,30,5281,100,1378,1702,0.30
2026-09-13T23:04:39Z,76,76,30,5281,100,1577,1702,0.30
2026-09-13T23:04:41Z,78,76,30,5281,99,1379,1702,0.35
2026-09-13T23:04:43Z,74,76,30,5281,100,1332,2424,0.35
2026-09-13T23:04:45Z,72,76,30,5281,99,1600,2424,0.35
2026-09-13T23:04:47Z,77,76,30,5281,100,1364,1702,0.33
2026-09-13T23:04:49Z,75,76,30,5281,100,1384,1702,0.33
2026-09-13T23:04:51Z,77,76,30,5281,100,1369,1702,0.30
2026-09-13T23:04:53Z,73,76,30,5281,99,1566,1702,0.30
2026-09-13T23:04:55Z,66,75,30,5281,100,1040,2424,0.30
2026-09-13T23:04:58Z,75,75,30,5281,100,1376,1702,0.27
2026-09-13T23:05:00Z,75,75,30,5281,99,1380,1702,0.27
2026-09-13T23:05:02Z,76,76,30,5281,100,1368,1702,0.25
2026-09-13T23:05:04Z,75,76,30,5281,100,1399,1702,0.25
2026-09-13T23:05:06Z,75,76,30,5281,99,1396,1702,0.25
2026-09-13T23:05:08Z,76,76,30,5281,100,1386,1702,0.23
2026-09-13T23:05:10Z,75,76,30,5281,100,1329,2425,0.23
2026-09-13T23:05:12Z,76,76,30,5281,99,1377,1702,0.21
2026-09-13T23:05:14Z,77,76,30,5281,99,1377,1702,0.21
2026-09-13T23:05:16Z,76,76,30,5281,99,1355,1702,0.20
2026-09-13T23:05:18Z,75,76,30,5281,99,1600,1702,0.20
