server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,11,25373.0,383.0,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,12,25511.3,379.1,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,13,25282.6,380.64,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,14,25307.4,382.64,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,0,21827.2,372.03,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,1,25401.1,381.63,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,2,25612.9,382.16,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,3,25612.9,381.61,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,4,25546.2,382.18,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,5,25626.0,382.23,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,6,25590.6,382.82,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,7,24921.3,382.39,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,8,25429.4,383.37,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,9,25404.3,382.02,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,10,25410.7,382.29,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,11,25502.1,382.45,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,12,25410.5,381.52,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,13,25520.8,382.41,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,14,25464.0,382.25,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,0,27717.0,356.94,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,1,30457.7,375.37,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,2,30401.3,375.23,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,3,30428.3,376.07,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,4,30412.6,375.72,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,5,30448.6,376.51,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,6,30469.0,376.65,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,7,30385.6,375.63,4106,32,,
