ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:52:43Z,75,75,31,4770,99,1458,1702,0.66
2026-09-12T17:52:45Z,75,75,31,4770,100,1600,1702,0.61
2026-09-12T17:52:47Z,66,75,31,4832,100,1040,2424,0.61
2026-09-12T17:52:50Z,73,75,31,4832,100,1406,1702,0.61
2026-09-12T17:52:52Z,62,75,31,4832,0,200,2425,0.56
2026-09-12T17:52:54Z,60,73,31,4832,0,200,2427,0.56
2026-09-12T17:52:56Z,58,71,31,4832,0,200,2424,0.59
2026-09-12T17:52:58Z,57,69,31,4870,0,200,2424,0.59
2026-09-12T17:53:00Z,56,67,31,4844,0,200,2424,0.59
2026-09-12T17:53:02Z,65,66,31,4432,99,1600,2424,0.63
2026-09-12T17:53:04Z,62,66,31,3890,99,1040,2425,0.63
2026-09-12T17:53:06Z,69,67,31,3890,99,1600,2424,0.58
2026-09-12T17:53:08Z,67,67,31,3890,100,1600,1399,0.58
2026-09-12T17:53:10Z,59,68,31,3881,4,1040,2425,0.69
2026-09-12T17:53:12Z,70,68,31,3890,100,1600,2424,0.69
2026-09-12T17:53:14Z,67,68,31,3865,100,1600,2424,0.69
2026-09-12T17:53:16Z,63,69,31,3865,99,1040,2424,0.64
2026-09-12T17:53:18Z,71,69,31,3865,99,1600,2425,0.64
2026-09-12T17:53:20Z,69,69,31,3865,100,1600,2424,0.58
2026-09-12T17:53:22Z,64,70,31,3865,99,1040,2424,0.58
2026-09-12T17:53:24Z,72,69,31,3865,99,1600,2425,0.58
2026-09-12T17:53:26Z,67,70,31,3890,100,1600,1702,0.54
2026-09-12T17:53:29Z,65,70,31,3865,79,1040,2424,0.54
2026-09-12T17:53:31Z,68,70,31,3865,99,1600,2153,0.49
2026-09-12T17:53:33Z,68,70,31,3890,99,1555,2425,0.49
2026-09-12T17:53:35Z,67,70,31,3850,100,1040,2424,0.49
2026-09-12T17:53:37Z,69,70,31,3865,99,1600,1702,0.69
2026-09-12T17:53:39Z,65,70,31,3865,100,1107,2424,0.69
2026-09-12T17:53:41Z,69,71,31,3842,99,1600,1702,0.64
2026-09-12T17:53:43Z,67,71,31,3850,100,1255,2425,0.64
2026-09-12T17:53:45Z,65,71,31,3850,100,1040,2425,0.64
2026-09-12T17:53:47Z,73,71,31,3865,100,1600,2424,0.59
2026-09-12T17:53:49Z,61,71,31,3997,0,200,2424,0.59
2026-09-12T17:53:51Z,59,69,31,3989,0,200,2425,0.70
2026-09-12T17:53:53Z,58,68,31,4006,0,200,2425,0.70
2026-09-12T17:53:55Z,58,67,31,4014,0,200,2424,0.73
2026-09-12T17:53:57Z,71,68,31,4014,99,1600,1702,0.73
2026-09-12T17:53:59Z,60,70,31,3947,0,200,2425,0.73
2026-09-12T17:54:01Z,71,71,31,3972,100,1411,1702,0.67
2026-09-12T17:54:03Z,69,71,31,3947,99,1600,1702,0.67
2026-09-12T17:54:06Z,72,72,31,3947,100,1600,1399,0.69
2026-09-12T17:54:08Z,73,72,31,3947,99,1419,1400,0.69
2026-09-12T17:54:10Z,65,73,31,3947,100,1040,2425,0.69
2026-09-12T17:54:12Z,75,73,31,3947,100,1359,1702,0.64
2026-09-12T17:54:14Z,64,73,31,4120,100,1040,2424,0.64
2026-09-12T17:54:16Z,76,74,31,4166,100,1544,1400,0.59
2026-09-12T17:54:18Z,74,73,31,4310,99,1401,1702,0.59
2026-09-12T17:54:20Z,74,74,31,4411,100,1458,1702,0.62
2026-09-12T17:54:22Z,74,74,31,4518,100,1441,1702,0.62
2026-09-12T17:54:24Z,66,75,31,4652,50,1040,2424,0.62
2026-09-12T17:54:26Z,73,74,31,4722,100,1600,1702,0.57
2026-09-12T17:54:28Z,68,75,31,4711,100,1040,2425,0.57
2026-09-12T17:54:30Z,73,75,31,4687,100,1424,2427,0.52
2026-09-12T17:54:32Z,74,74,31,4711,100,1600,1702,0.52
2026-09-12T17:54:34Z,76,75,31,4711,99,1547,1399,0.52
2026-09-12T17:54:37Z,75,74,31,4722,100,1600,1702,0.56
2026-09-12T17:54:39Z,66,75,31,4722,99,1040,2424,0.56
2026-09-12T17:54:41Z,75,74,31,4711,99,1600,1400,0.52
2026-09-12T17:54:43Z,68,75,31,4722,100,1040,2424,0.52
2026-09-12T17:54:45Z,72,74,31,4711,100,1463,2425,0.52
2026-09-12T17:54:47Z,75,74,31,4711,100,1363,1399,0.48
2026-09-12T17:54:49Z,74,75,31,4711,100,1600,1702,0.48
2026-09-12T17:54:51Z,62,73,31,4722,0,200,2424,0.60
2026-09-12T17:54:53Z,60,72,31,4722,43,1040,2424,0.60
2026-09-12T17:54:55Z,58,70,31,4746,0,200,2425,0.63
2026-09-12T17:54:57Z,68,69,31,4746,100,1600,1702,0.63
2026-09-12T17:54:59Z,64,69,31,4290,0,200,2425,0.63
2026-09-12T17:55:01Z,71,69,31,4280,99,1600,1415,0.58
2026-09-12T17:55:03Z,69,69,31,4261,99,1600,2423,0.58
2026-09-12T17:55:05Z,67,70,31,4290,99,1326,2425,0.53
2026-09-12T17:55:07Z,69,69,31,4261,99,1600,2424,0.53
2026-09-12T17:55:09Z,66,70,31,4280,100,1380,2425,0.53
2026-09-12T17:55:11Z,67,70,31,4251,13,1322,2426,0.49
2026-09-12T17:55:14Z,72,70,31,4261,100,1600,2424,0.49
