server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,0,694.2,57.73,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,1,701.3,57.41,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,2,699.5,62.29,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,3,700.2,61.63,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,4,699.1,60.85,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,5,700.5,61.42,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,6,700.2,58.78,8203,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,7,699.6,62.25,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,8,700.1,61.66,8201,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,9,698.4,61.54,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,10,699.4,60.88,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,11,699.5,61.56,8203,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,12,698.0,61.49,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,13,699.9,60.46,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,14,700.0,62.45,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,0,693.5,61.39,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,1,702.7,61.78,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,2,702.3,61.8,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,3,701.5,60.96,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,4,701.9,60.77,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,5,701.4,61.6,8201,64,,
